,text,1
0,Have a hammock gear quilt right now,1
1,I really like it but am annoyed with the continous baffles and having to move the down each night before I go to bed,0
2,The down always seems to end up in the end of the baffles and it's a fair bit of work to get it back on top where I want it,0
3,I like the pad attachment system that Katabatic uses and was thinking of upgrading but curious if the down will do a better job staying put?,2
4,Do you roll or stuff the quilt when not in use? I have the HG Incubator and haven't had this problem,1
5,Gear with filled insulation like this should be stuffed instead of rolled to avoid pushing the insulation down to the ends I believe,1
6,Best of luck with your hang~,1
7,I stuff it and every night the down ends up at the ends of the baffles on the sides of the bag and has to be pushed back,0
8,It stays put if I spend 2 nights in the same place but there’s something about how I’m stuffing it I guess I have like 5 other bags including another HG bad and don’t have problems with any others,0
9,I've had one of the Katabatic 20 degree quilt for the last 6 years,2
10,No issues like you're describing with down bunching up,2
11,I use the tiny stuff sack it came with backpacking and there are no problems~ but for car camping I stuff it loosely in a reusable grocery bag just in case it prolongs the quilt's life,2
12,One of my favorite pieces of gear!,2
13,I know this is kind of old news~ but what is the general opinion of 5.10 shoes now that Adidas owns the brand? Specifically~ the new dragon lace ups and the rubber,1
14,Is stealth rubber still being used and is it still as sticky as before?,1
15,Adidas has owned 5.10 since 2011~ longer than most have been climbing.,1
16,I think overwhelmingly~ the change has hurt the brand,0
17,Shoes that people like are discontinued,0
18,Sizes can vary between manufacturing runs,0
19,New shoe designs underwhelming and under-performing compared to previously designed shoes,0
20,People are not sure about the rubber~ if its changed or not,0
21,The one big positive is they firesale them quite frequently,2
22,Meh,0
23,That may have been when there was a transaction but the major changes~ like closing the American production facilities and moving production to Asia started happening more recently,1
24," I dunno about the rubber~ but I have some moccs and while I like the fit they are already fraying in the ""leather"" around the edge after about 15-20 climbing days.",2
25,I wore guide tennis before and after Adidas took over~ and have noticed a huge decline in quality since the takeover,0
26,Whatever Adidas uses to glue the rubber to the bottom of the shoe started peeling off almost immediately~ and pretty soon the entire front end of the rubber becomes unglued and hangs there like a reverse flip-flop,0
27,This happened to two pairs in a row,0
28,After that~ I switched to Sportiva approach shoes~ which I've been happy with,2
29,Big issue with sizing changes and durability occurred when they moved production to Asia,0
30,They seem to quickly fall apart and wear under normal use now.,0
31,same story here with approach shoes,1
32,#fakenews,1
33,Sizing from adidas is a huge issue - if I find a pair that fits me in a store~ maybe I'll buy them~ but maybe not~ because I'll never be able to get a second pair of the same shoe~ back to the starting line of finding a pair of shoes I like,0
34,Certainly will never order another pair again~ as there's no telling what actual size will come in the mail~,0
35,That includes approach shoes,1
36,It's worth remention that a bunch of five.ten employees went and started the company Unparallel recently,1
37,I had one pair until they were stolen~ and I was super impressed with the quality and the rubber,2
38,I'll buy those again.,2
39,I never had the american made shoes~ but the Adidas 5.10 shoes I have tried have been less than impressive in terms of quality compared to the Italian brands,0
40,My own previous snarkiness aside~ I’ve experienced and observed more Sportiva quality issues than any other brand,0
41,I haven’t bought a new pair of hiangles in a couple years~ but I’ve never had 5.10 issues myself.,2
42,Yeah I would say of the major brands~ the biggest QC issues have been Evolv and La Sportiva,0
43,TC Pro delams~ Miura toe blowouts in 2 months...they’re pretty infamous for it,0
44,The Five Tens I’ve owned have all been top notch in construction,2
45,Only owned one pair of Scarpas but they’ve impressed me~ even though they don’t fit my feet that great.,2
46,Same here,1
47,I haven't been climbing long enough to have used 'American' 5.10~ but after being disappointed with the Adidas Pink Anasazi I bought the Unparallel UP Lace and I've been using them for maybe 6 months or so,0
48,I'll probably buy another pair soon too~ as my current ones are getting a bit too comfy to the detriment of performance.,0
49,I’ve been using 5.10 since they started and during the transition to Adidas,1
50,I recently bought a pair of Grandstones and have to say they are the best built pair of shoes I’ve ever bought from them~ very high quality build,2
51,And BTW~ they are still using C4 the same sticky rubber,1
52,I have some guide tennies from before and after the factory shut down (seemingly where the issues started~ not the change of ownership),0
53,The ones before the shut down are older~ more used and..,0
54,in SIGNIFICANTLY better condition,2
55,The ones purchased almost a year later are already all but useless with the bottom rubber almost completely detached,0
56,I will say I talked to an adidas rep who said they tried pretty hard to change the C4 rubber (trying to make it more eco friendly) but could not do it,0
57,So supposedly it is the same rubber,1
58,FWIW~ I love my 5.10 Quantum lace-ups and the Stealth rubber that they used,2
59,It lasted me about 6 months and I am now about to send them in to be resoled,1
60,However~ I have found that 5.10/Adidas is absolute dog shit when it comes to customer service,0
61,It has taken them 2-3 days to even ship shoes that I have bought through their super sale and~ even then~ shipping is slow (always more than a week from shipping date in my experience),0
62,Additionally~ I ordered a couple pairs of Team VXIs which just didn't fit my foot well and~ despite them having received the shoes~ I have not heard anything regarding my refund,0
63,Bottom line: love the shoes~ not the customer service,2
64,Buy em from literally any retailer other than Adidas themselves,0
65,I think any current 5.10 issues were also present before Adidas bought them~ sizing and quality included,0
66,If anything they may have improved in some ways with the support of the larger company,2
67,Haven't heard any current complaints regarding a drop in the rubber quality,2
68,For every 5.10 complaint I've heard regarding delaminating~ I've heard one for Sportiva as well,1
69,5.10 quality was always inferior to the European shoe makers,0
70,It is the Dodge Charger of climbing shoe companies and always was,0
71,Adidas buying them was like Fiat buying Chrysler - SOS.,0
72,Delam issues are not always the manufacturers fault,1
73,Shoes get abused~ they get thrown in the back of a car and sit it the hot sun and bake,1
74,They get wet from sweat and then thrown into the bottom of a pack and then 30lbs of gear gets loaded on top and then we wonder why my shoes are starting to delaminate,1
75,Take care of you shoes,1
76,It’s like to new climber who’s shoes are blown out in the toe after a month and they complain that it’s a manufacturer defect when it’s clearly poor footwork,1
77,I’ve never had a pair of Five Ten climbing shoes delam and I’ve been using them since Five Ten started,2
78,I have had one pair of Guide Tennies start to delam but that was quickly fixed with a bit of super glue gel,0
79,I'm old...53 to be exact~ and I have not had any issues with my multiple 5.10 shoes: Spires~ Pinks~ Coyotes and Gambits (and more that I can't remember),0
80,But they were all made in the USA and have all had many resoles,2
81,The Coyotes are about done~ the inside liner is all but gone and the leather is wearing through from the inside,0
82,Fantastic smearing shoe IMO,2
83,The highest quality shoe I've ever had is the Boreal Ballet Gold~ they are just a really well made shoe,2
84,Lots of stitching and rubber~ in the right places~ to make the shoes super durable,2
85,I go through a lot of laces~ because these are crack shoes,0
86,I also own the Boreal Ninja~ which also are super well made,2
87,La Sportiva is more hit and miss,0
88,My Cobras only took two resoles before they were toast,0
89,My Mythos on the other hand have been resoled at least four times~ maybe 5,2
90,My Kaukulators were the same way....many many resoles before the leather ripped,2
91,My first pair was orange~ I remember that~ long gone~ but lasted a few seasons,1
92,Only pair of Scarpa I ever had was the Helix~ not that great a shoe IMO,0
93,I don't climb much severely overhanging stuff~ or pockets~ so I don't really have a need for a super aggressive shoe~ so maybe my choice of shoes just last longer than others.,1
94,Strongly disagree,0
95,I used to order 1-2 pairs of the same darn size of Ansazi Velcros  every year for years and years~ and got the same shoe every time~ from 2002ish? to 2012,2
96,I could take them out of the box~ throw them in the pack~ and wear them 1st time at a cliff~ always the very same shoe.,2
97,I started using 5.10 in 1996,1
98,Before that I had a few pairs of Boreals (Vector/Laser/Ballet)~ Scarpas (Rockmaster)~ Asolos (Opera) and La Sportivas (Kendo/SuperX/Ballerina/Mythos),1
99,In 5.10~ before Adidas took over~ I used the Razor (best shoe ever)~ VX~ UFO~ RockSox~ Moccs~ and Ansazi lace and Velcro,1
