,topic,page_num,post_num,text,join_date,post_date,num_likes,pred_label,true_label
0,Katabatic quilts and down shift,1,0,have a hammock gear quilt right now,Jan 2012,Jul 5 2020,1,1,1.0
1,Katabatic quilts and down shift,1,0,i really like it but am annoyed with the continous baffles and having to move the down each night before i go to bed,Jan 2012,Jul 5 2020,1,0,0.0
2,Katabatic quilts and down shift,1,0,the down always seems to end up in the end of the baffles and it's a fair bit of work to get it back on top where i want it,Jan 2012,Jul 5 2020,1,0,0.0
3,Katabatic quilts and down shift,1,0,i like the pad attachment system that katabatic uses and was thinking of upgrading but curious if the down will do a better job staying put?,Jan 2012,Jul 5 2020,1,2,2.0
4,Katabatic quilts and down shift,1,1,do you roll or stuff the quilt when not in use? i have the hg incubator and haven't had this problem,Mar 2020,Jul 5 2020,0,1,1.0
5,Katabatic quilts and down shift,1,1,gear with filled insulation like this should be stuffed instead of rolled to avoid pushing the insulation down to the ends i believe,Mar 2020,Jul 5 2020,0,1,1.0
6,Katabatic quilts and down shift,1,1,best of luck with your hang~,Mar 2020,Jul 5 2020,0,1,1.0
7,Katabatic quilts and down shift,1,2,i stuff it and every night the down ends up at the ends of the baffles on the sides of the bag and has to be pushed back,Jan 2012,Jul 6 2020,0,0,0.0
8,Katabatic quilts and down shift,1,2,it stays put if i spend 2 nights in the same place but there’s something about how i’m stuffing it i guess i have like 5 other bags including another hg bad and don’t have problems with any others.,Jan 2012,Jul 6 2020,0,1,
9,Katabatic quilts and down shift,1,3,i've had one of the katabatic 20 degree quilt for the last 6 years,Jun 2016,Jul 6 2020,0,2,2.0
10,Katabatic quilts and down shift,1,3,no issues like you're describing with down bunching up,Jun 2016,Jul 6 2020,0,2,2.0
11,Katabatic quilts and down shift,1,3,i use the tiny stuff sack it came with backpacking and there are no problems~ but for car camping i stuff it loosely in a reusable grocery bag just in case it prolongs the quilt's life,Jun 2016,Jul 6 2020,0,2,2.0
12,Katabatic quilts and down shift,1,3,one of my favorite pieces of gear!,Jun 2016,Jul 6 2020,0,1,2.0
13,Adidas owning 5.10,1,0,i know this is kind of old news~ but what is the general opinion of 5.10 shoes now that adidas owns the brand? specifically~ the new dragon lace ups and the rubber,Jun 2017,Nov 21 2019,0,1,1.0
