,Hi all~ I am in the market for a new plaquette style device,1
0,I currently have a Reverso 4~ but I am contemplating between a Pivot~ ATC Guide~ or Reverso,1
1,I know they all operate essentially the same,1
2,"When updateing my device~ I am looking for the device that has the least friction when bringing up a second in ""Guide Mode""",2
3,I already have a GIGI that I carry on longer routes~ but would like a single device that is easiest on my elbows when climbing shorter multipitch routes,1
4,What are everyone's thoughts with regards to this?,1
5,Easiest on the elbows would definitely be a Grigri,2
6,I carry one in addition to the plaquette on short multi pitch routes (and some long ones too),2
7,Otherwise~ anything besides the Reverso,0
8,I've found it to have mucho drag,0
9,Make sure that you dedicate a nice round stock carabiner as the blocker too...,2
10,DMM Pivot,1
11,Both the Pivot and the ATC guide accept ropes to 11mm according to their spec sheets,2
12,Some people claim the rotation of the Pivot makes it easier to pull in rope in guide mode~ but I haven't tried one so I can't speak to that personally,2
13,I agree with Mike that the blocking carabiner matters and a grigri is best for single followers,2
14,I use the grigri more than anything else because of the ease of hauling~ lowering~ and lack of elbow pain,2
15,I have a preference for the ATC-guide because I like the orientation on my belay loop if using it for ascending (when that rare occurrence happens) and it's cheaper for me than the Pivot,2
16,What's keeping you from using the GIGI for shorter climbs?  It's not good for lead belaying~ but you can just give it to the leader for every pitch,0
17,Thanks Adam! As a clarification~ When climbing most multipitch routes our party generally tends to carry one Gigi and one GriGri and switch at each belay,1
18,Where I currently am~ most the multipitch routes are about 3 pitches in length,1
19,"On these I like to just carry my ""Guide"" device to keep things less cluttered and simple~ plus it is the most versitile belay device overall",2
20,I understand the added benefits of lowering with a Pivot~ and the orientation difference with the ATC Guide,2
21,I've considered this~ and I am basically just looking for the ranking of least friction to most friction when belaying from the top with those 3 devices,1
22,I hope this helps clarify my original question,1
23,Thanks!,2
24,Right on~ Chris,2
25,In that case~ the Pivot is probably your best bet,2
26,grigri,1
27,To be fair~ a Gigi adds very little weight or bulk~ and it is still easier to pull slack through than any tube style plaquette.,2
28,I cannot speak from direct experience~ but I believe that the Mammut Bionic has the lowest friction in guide mode of any tube style device on the market,2
29,If maximum versatility is what you are looking for~ I would check out the the Gigajul,2
30,but I honestly think the Gigi/Grigri is the best setup for short multi-pitch climbs with single ropes,2
31,Hey Karl~ Thanks for your reply,1
32,I have tried out the GigaJul thinking it would provide the most versatility,2
33,While I still believe it could theoretically be the most versatile~ I there just seems to be way to much drag when belaying with this is any form (toprope~ lead~ or from above),0
34,In my experience~ unless you are using ropes smaller than about 9.2~ it is just a pain,0
35,But again~ thanks for your input,1
36,I have not looked at the Mammut Bionic~ that may be work checking out.,2
37,If you liked the Gigajul~ except for the relatively high friction in guide mode~ you might also want to check out the Mammut Alpine Smart,2
38,It is a bit bulky for my taste~ but guide mode is much lower friction,2
39,did you try the gigajul or megajul? i've had both and the gigajul is much better for friction,2
40,my favorite tuber,2
41,This chart is a bit dated,0
42,It comes from an old article on Www.cascadeclimbers.com But~ it is at least a starting point for discussion.,1
43,+1 for pivot,2
44,Marty~ That is an interesting chart,2
45,This is essentially the data I am looking for,2
46,I wonder if there are any updated or newer more comprehensive versions of this,1
47,Thanks!,1
48,Ovo or Gigi,1
49,Weighs nothing~ easy pull,2
50,You could literally put it in your pocket.,2
51,I've used a few of the other devices mentioned--namely the gigajul and pivot--and like them a lot for certain uses~ but my favorite guide-style device for multipitch is still the Bionic Alpine from Mammut,2
52,No fancy assisted-braking features (other than guide-mode)~ but it feeds and takes in <10mm ropes like a dream,2
53,It's also a lot more durable than full aluminum tubers like the pivot or reverso due to the use of steel for the rope-bearing surfaces,2
54,If your main rope is >9.5ish~ the Bionic and ATC guide are going to feed better than the pivot~ reverso~ gigajul~ IMO,2
55,The latter two are better suited for slimmer singles or halves/twins,2
56,Does anyone have experience with the Up Mocc from Unparallel Sports? I used to love Moccasyms because they worked great for my wide feet,2
57,I recently purchased a new pair~ and they were so narrow~ I couldn't get my foot into my normal size,0
58,How do the Up Moccs size compared to the Moccasym? I typically would buy a 9.5~ which would be a quite tight sport shoe for a couple months~ and then would stretch out to gradually become something I could wear all day,2
59,Thanks!,1
60,I got them because the mocs aren't what they use to be,0
61,I'm 13 street shoe~ mocs 11.5,1
62,I purchased the up moc in 11.5,1
63,(Worn this shoe for 10+ years now),2
64,They are sized the same,1
65,"However~  the up moc is ""thicker"" and slightly more aggressive",2
66,So its a tighter fit,0
67,If I purchased another up moc I'd Still get an 11.5 I guess,0
68,But they still haven't broken in as much as the syms,0
69,UpMocc wont stretch as much as the 5.10 mocc,2
70,The up mocc does not stretch much at all~ I size the same as 5.10 mocc,0
71,I have a few pairs~ 1 on its 3rd sole and they still fit tight,2
72,Normal moccs never last me this long~ they fall apart,0
73,Very helpful,2
74,Thanks all,1
75,I picked up the UP Moccs a couple months ago for the same reasons you describe,2
76,Absolutely love them,2
77,I got the same size that I used to wear in the older Moccasyms and they fit perfectly~ though--as others have said--they don't stretch nearly as much,2
78,Stickier than the five tens (IMO)~ and they have the best heel of any slipper I've tried,2
79,Just a heads-up: the reinforced pull-tab on the top initially caused a weird pressure point for me~ but it softened up after a couple of uses,0
80,Arc'Teryx's warranty is useless,0
81,I own a lot of Arc'Teryx products that I've accumulated over many years,2
82,I also own gear from other makers such as Patagonia and Outdoor Research,2
83,I've submitted claims to Patagonia with no problem,2
84,Send it in~ get it back repaired~ simple~ no hassle,2
85,I recently had an issue with Arc'Teryx shorts,0
86,While they're about 10 years old~ I only wore them occasionally~ casually and on a few day hikes; nothing harsh,1
87,They were washed in cold water and hang-dried,1
88,A couple weeks ago~ I pulled them out of my closet to discover the welded pockets were failing,0
89,I contacted Arc'Teryx and they demanded a proof-of-purchase before repairing,0
90,seriously? Who keeps receipts beyond a year or two? Patagonia and OR make no such requirement and such is not stated on Arc'Teryx tags,0
91,I will NEVER again buy anything Arc'Teryx,0
92,Their warranty is meaningless.,0
93,I’ve heard that sometimes it can really depend on the Customer Service Rep you get,0
94,For a counter-example~ I broke the zipper divider on one of my Arc jackets last year,0
95,Sent them a picture~ and they sent me a new one right away,2
96,Point is~ it’s not meaningless...,2
97,I have noticed a general theme as well,1
98,Patagonia and OR seem to stand behind their stuff in ways that I find remarkable and loyalty-inspiring,2
99,Arc’teryx seems to try to weasel out of their version of doing the same 1/2 the time~ and repair well and easily~ if not graciously~ the other 1/2,0
100,So~ my perspective is that it’s not meaningless warranty~ but that I do not depend on it,0
101,I still buy their stuff when I like it best~ but unless it’s a clear favorite I skew towards other brands.,0
102,They recently repaired a zipper for me~ no questions asked,2
103,I dropped it off at an Arcteryx store which may have worked in my favor,1
104,Glad they didn’t ask for proof of purchase since I bought it used on MP.,1
105,I've had Outdoor Research and Mountain Hardwear step up in big ways in the last year or so,2
106,Both times I returned items saying I was happy to pay for a repair as they were 5ish years old and had seen considerable use,2
107,In the spirit of not tossing otherwise functional gear I wanted it repaired as professionally as possible and was more than ok with paying for it,2
108,Both companies replaced expensive items even when I offered to pay a pro deal price at a minimum as I didn't consider it warrantied gear failure,2
109,Demanding a repair on 10 year old SHORTS?? Come on man - don't be like this,1
110,Arcteryx makes some quality stuff,2
111,I’ve never had a problem with their warranty,2
112,I had some stitching pull on a glove I bought at 50% off,0
113,They determined it to be a manufacturing defect and gave me a full priced credit~ which I promptly put back into a killer pair of Arc gloves,2
114,The whole process was seamless for me.,2
115,Here's their warranty for clothing,1
116,"Ten years is a pretty good run for a pair of shorts:""Practical Product Lifespan means the usual and customary wearable life of the product",2
117,The Practical Product Lifespan does not mean for your lifetime or mean a time period that is indefinite,1
118,The manner in which the product is used directly impacts the usual and customary wearable life of the product~ as materials will deteriorate and fade over time and moving parts will also wear,1
119,Arc’teryx Products are designed for long life and durability~ if care instructions are followed carefully,2
120,If your Product appears worn out~ then it may be time to replace your product and we hope that Arc’teryx will be a part of your next buying decision,1
121,Practical Product Lifespan will be determined in the reasonable discretion of an authorized Arc’teryx Customer Service representative who shall take into account at least the following factors: the type and nature of the Product~ the nature of the use of the Product~ nature of the Product issue involved~ and age of the Product,1
122,"The Arc’teryx Customer Service representative may require consumer information in order to make the foregoing determination and may not be able to make a determination without such accurate information from the consumer.""Edit: This is a very vague warranty",1
123,"Almost ""meaningless~"" to quote the OP",1
124,Still~ 10 years of use seems good enough to me,2
125,Sounds like the repair or replacement is subjective and totally at their discretion,0
126,Not necessarily wrong~ but vague.,0
127,Interesting,1
128,Have had the same failure but was never asked for proof of purchase to get it fixed,1
129,I agree~ that’s lame.,0
130,But that wasn’t the reason they denied service,1
131,Your point is valid~ but irrelevant.,1
132,I see what you did there.,1
133,But that wasn’t the reason they denied service,1
134,Your point is valid~ but irrelevant,1
135,Yeah~ not having the receipt was the ostensible reason for turning down the warranty service.,1
136,That is your complaint....they wont repair or replace 10 year old shorts? Dude~ you must have more going and demanding in your life than that.,1
137,I see what you did there,1
138,#accidentalwordplay,1
139,Any reviews out there~ specifically for those that climb a lot on granite?,1
140,Here is my short term review having broken in the shoe and done a bit of rock climbing in it: The UP site is sorta wrong,0
141,It feels like a Hiangle in terms of stiffness~ but the rubber is thinner and more sensitive,2
142,The heel fits me a bit more snug,0
143,The shoe is slightly less downturned~ but with less forefoot volume and a moderately pointier toe,1
144,The closure and entry system is actually super useful,2
145,A bit less midfoot volume than the Regulus and maybe the Regulus LV,1
146,The heel also feels way more secure for me,2
147,Super powerful toe~ but doesn't feel as clunky as many stiffer shoes,2
148,The rubber overlaps with C4 in terms of shore hardness and feels closer to C4 than the RH rubber of the Regulus,1
149,Not a shoe for smearing~ but could be a great granite/limestone/edging shoe,2
150,I wear a size 10 street and am a 9.5 Sirius~ 9.5 Sirius LV~ was a 9.5 Regulus LV~ 9.5 Hiangle~ 40.5/41 Solution,1
151,They are incredibly snug/tight at first~ but once on feel like a good balance,2
152,I could maybe go a half size up for longer sport/multipitch,1
153,These would actually be an awesome crack shoe,2
154,Very low toe profile and big toe patch,1
155,The closure system might get in the way when jamming really deep,0
156,I dunno,1
157,Super versatile shoe.,2
158,I tried on a pair of the VCS a half size down and they felt great in the heel~ but I had some weird dead space around the big toe~ felt a little long,0
159,Currently exchanging for 1 size down,1
160,It felt about the same stiffness as the TN Pro~ but with a snugger heel and better closure system if you want to tighten up that midfoot area,2
161,I think the TN Pro will still be my go-to bouldering shoe~ but the NewTro VCS will be for anything where I want more sensitivity and power in the big toe,2
162,Like small footholds on overhangs,1
163,It's also easier to get into,2
164,The toe was also more downturned than the TN Pro~ and seemed like it'd be worse for smearing just from walking in them,0
165,If I end up liking it more than the TN Pro~ I'll probably get the lace version too,2
166,It breaks in to be quite a bit more sensitive and can actually smear better than you would expect,2
167,Dan Turner has a glowing review on his YouTube channel,2
168,​ ​The TN Pro is weird to me,0
169,Fairly thick rubber and felt more voluminous than the Regulus in the midfoot.,1
170,What size did you go with for the NewTro~ half size or full size down from street size?,1
171,Sorry~ 9.5 in all UP shoes including the Newtro,1
172,My parents live in Tucson and I actually like The Bloc,2
173,Rocks N Ropes has the Tension Board now too which is nice,2
174,What/where is the other gym opening up?,1
175,No issues with the routes and the renovation at RnR is pretty nice,2
176,But~ had issues in the past with the owner or management staff,0
177,I’ve worked with a lot of college students who’ve all had ongoing~ very poor experiences with RnR regarding memberships~ fees~ and some pretty awful customer service,0
178,The climbing is great~ everything else is terrible.,0
179,Cool I’ll check it out when I visit my parents next,2
180,That and actually try to hit some of the local bouldering!,1
181,Does anyone use these cams? do you think  the expandable sling is nice? when I tested it in the store I felt like it kept getting stuck where the sling is sewed,1
182,Not trying to carry so many alpine draws if I don't have to.,1
183,Excellent quality~ lightweight pieces~ although sizes are slightly off from the similarly-colored Camalots (only really matters on Wingate),2
184,The extendable slings aren't long enough to make a difference~ in my opinion,0
185,Dragons have longer extendable slings~ but no thumb loop,2
186,yeah~ i really like the dragons but I also have small hands so I prefer the lump loops,1
187,if the expanding sling doesn't make a difference then I might keep my metolious double rack,2
188,I like them~ I have .4-3 in friends and C4s as doubles,2
189,When you extend the sling~ pull the bar tack (aka sewed part) away from the cam~ not the smooth side of the sling to keep everything neat,1
190,I find the extendo-slings handy when a piece is under a little bulge or just a tiny bit out-of-line,2
191,Placing a c4 or mastercam unslung I really notice the difference in drag/walking~ the Friend slings do have their use~ you just still need alpines or shoulder runners depending on the route.,2
192," Not sure the dragons are actually ""longer"" when measuring from axle to sling end:",0
193,I like them,2
194,I feel like this help save your alpine draws for the passive placements on a pitch,2
195,ain't nobody got time for that cmon now,0
196,There are definitely more than less scenarios that I take less draws due to having the extendable slings but I’d say that’s predominantly single pitch,1
197,I’ve come accustomed to always ripping the bar tack side to extend due to faffin with them a bit at times~ too,1
198,I have a friend who has a set of cams with extendable slings,2
199,They're super annoying to clean as a follower~ and +4 inches is useless for extension,0
200,I have Dragons and one of my partners has the Friends,2
201,"While the total length isn't very different~ the Dragons with extended slings just ""feel"" like they're extended more~ maybe because there's more sling and less cam stem? I have placed a Dragon with no additional extension~ but never done so with a Friend",2
202,With that being said~ they're super useful for getting the carabiner off of an edge~ like someone mentioned above.,2
203,I totally agree with this,2
204,I have a single rack of WC friends from .4-4 and depending on the route you still need aplines,0
205,The extendable draws on the WC friends is only good for little overhangs or extensions,2
206,I only really find the extension useful when pairing with a sport draw for when I need just a little bit more length,2
207,Lets me save my alpine draws for nuts and anchors.,2
208,I have a set of .4-3 WC friends with extendable slings and a set of C4s in the same sizes,1
209,They are great cams of the same general design~ but I generally prefer the WCs to the C4s because of the sling,1
210,Also~ there is no anodized finish on the contact points of the lobes on the WCs so theoretically they MIGHT grip better than a new C4? I have yet to be upset about having an extendable sling~ though I do not always use it,1
211,There are times where it provides just the right amount of extension and can save you from needing to use an alpine draw if you need to conserve them.,2
212," Doesn't this belong in ""climbing gear discussion"" not ""climbing gear reviews""? And you just need to get in the habit of pulling the strand with the bar tack when you extend",1
213,I'd also tell you partners to get in the habit of shortening it BEFORE they remove it and repack it when cleaning,1
214,These two things seem to be the main complaint~ though I don't understand why as it isn't that hard to be smarter than two loops of dyneema instead of one.,2
215,I put my color code mark on the heat shink over the stiching to make that spot stand out more,1
216,So you can see easily what to pull to extend.,1
217,Dude there isn’t any heat shrink on the bar tack that is the dmm dragons,1
218,I bought my 1-3 sizes~ I'm very happy with them really don't see why I'd go for anything else~ especially if you see any amount of aid in your future of climbing,2
219,Just came across it~ check it out - https://www.thegrommet.com/palmpress The pitch:,1
220,For backpacking or climbing~ I don't see this as an improvement over Aeropress or a simple cone brewing method,0
221,It seems heavy and limited,0
222,For home use~ looks like a nice option,2
223,As someone who has owned way too many coffee devices (French Press / Moka / Aeropress / V60 Drip)~ my current favorite - by far - is the Wacoco Minipresso,2
224,I found mine for $25 online,1
225,Don't get the knock-off imitations~ my girlfriend did and stopped bothering to send them in for replacement because the replacements would break almost immediately,0
226,It almost always comes with us when doing low-key backpacking or car camping,1
227,Espresso = minimum water usage but big taste,2
228,It's slightly smaller than an aeropress and just as sturdy,2
229,Tastes a million times better than Starbucks Via or Alpine Start,2
230,We did a blind taste test vs,1
231,a $200 home espresso machine and most people in the group preferred the Wacoco,2
232,We also included the aeropress / french press / etc..,1
233,Obvious caveat: if you don't like espresso and prefer coffee~ stick with what works,0
234,The non-espresso people were split between the French Press and Aeropress.,1
235,Where’d you find it for $25?,1
236,Where’d you find it for $25?  bought it new from Poshmark.com,1
237,If I'm going lightweight I'm just bringing instant coffee,1
238,No question,1
239,If I'm not~ I'm bringing my trusty old aeropress.,2
240,I'm with Chris,1
241,Instant coffee + 1/2 package of hot chocolate mix = backcountry goodness,2
242,Sometimes I use  filter system but to be honest usually instant~ it just feels more like camping that way.,1
243,It really depends if you like quality coffee or if you want your classic burnt go-juice,1
244,For quality instant coffee~ you're not going to find anything better than swiftcup,2
245,They have some wonderful single origin coffees roasted by some of my favorite roasters (check out ​This​​​ and ​This from middlestate),2
246,Aeropress with hand Burr grinder for Basecamp,2
247,V60/aeropress for home,2
248,If you want burnt go-juice~ Starbucks via and alpine start are fine,0
249,Not my thing though.,0
250,Also~ you can just buy the single-use pour over filter/bags empty from amazon and bring your own coffee.,1
251,yup first ascent is great!,2
252,Vietnamese Phin..,1
253,buy there for about a buck~ Amazon prime about $10,1
254,These are a few bucks..,1
255,smile.amazon.com/Vietnamese…;qid=1569271025&sr=8-33&th=1 There is a learning curve~ you need the right grind and patience,0
256,It takes trial and error and some diligence to figure it out,0
257,Making Vietnamese style coffee you want a strong shot,2
258,You want it to drip very slowly,1
259,I carry one and a grinder whenever I am traveling~ including solo international trips with only a day pack's worth of gear.,1
260,Just take Excedrin if youre backpacking,1
261,Way lighter,1
262,Drink good coffee at home,1
263,No gimmicky mini espresso will beat a real espresso machine in the hands of someone who knows what they are doing.,2
264,Alpine start is definitely the best instant coffee on the market,2
265,Its actually quite good for instant; plus Matt Segal started the company~ which is cool,2
266,Secondly~ the aeropress is the best coffee making system on the planet~ portable~ light~ simple~ makes good coffee,2
267,I take one traveling with me on international trips.,2
