,brand, model, rating, rating_text
0,la-sportiva,makalu,5.0,   Best boots I have ever owned. Going on 4 years and their still going strong. I use these boots on a daily basis as well as rough hiking trails in the Tetons. Break in period is a little rough but once you get over that you will not be disappointed.    These boots are True to their size~ meaning I wear a size 9 in running shoes and the same goes with these which would be a 42 euro. I will definitely be buying another pair of these boots in the future.
1,la-sportiva,makalu,5.0,   Extraordinary boot for their intended purpose~ however~ you must be very careful with the fit. These boots will not flex or move on the foot if fitted properly.    I suspect the problems referenced in the above reviews ie broken shanks or holes are attributable to an incorrectly sized boot (most likely too large)~ allowing flex in the foot to boot interface~ which will workharden the shanks (it's about the only way you can break a full length steel shank). If you're getting blisters with these boots~ you have at least a size too big.     The dual stage lacing system also takes some getting used too~ and requires adjustment after the foot has swollen a bit~ perhaps a mile or so into each day to maintain proper fit.    I would recommend these for any alpine activity or for heavy load bushwhacks. They simply are not flexible enough for average long distance trail hikes with light to mid weight packs. That said~ I won't leave home without mine~ absolute bulletproof support and stability. 
2,la-sportiva,makalu,5.0,   These boots continue to amaze me!!  Firstoff~ break-in is best accomplished with a series of short climbs with much vertical.  It took my achilles a while to get used to the extremely stiff shank and my boney heels suffered a few blisters as my soft skin wasn't accustomed to being pitted against a steel shank.  After leather begins to become more forgiving the Makalu fits like a glove.  Superfeet insoles compliment the boots very well.   The Makalu is the only boot that I could find that is hardcore enough to stand up to everything Montana can throw.  From kicking steps up steep snowfields to downclimbing through waterfall formed crevasses to traversing talus fields these boots have never let me down. With a couple applications of Nikwax I have never gotten wet even the sligtest bit while walking through streams and wet snow crossings.  The only wear these boots have shown so far is  a bit bit of rubber missing on the outside and inside of the  large lugs of the Vibram Cluzaz sole from edgeing on knarly rock. I can't wait to step into some crampons.   These boots are well worth the investment especially if you can get them on sale!!  They'll last forever!!
3,la-sportiva,makalu,5.0,   My playground resides 120KM west -- the Canadian Rockies. I spent the 3 months leading up to spring break searching for a boot. I visited every store that sold outdoor gear in Calgary and came up empty handed. My last resource was Banff National Park. This is not a place to buy gear if you are on a budget. Typically~ costs in this resort town are 15-20% higher than the city. I paid $380.00 for the Makalu~ $45.00 for gas on the first trip~ then $45.00 again for the second trip because they put a size 10 in the box instead of an 11.    My first outing was on the West Coast of Vancouver Island. Spent the summer hiking. I blessed my boots every time I laid them to rest at the end of the day. Knarly roots~ rocks~ and slick trails make up the rain forrest floor. These boots performed very well. They are extremely supportive in the ankle area therefore you may want to loosen the laces on long (2KM or more) uphill hikes and tighten going down. I never had to do this though.    Make sure you visit the LaSportiva web site and use the products they recommend for leather protection. I found wetting the boot and then applying the product works the best. This process of leather protection will darken the color of your boots slightly. The other way to apply the leather protectant is to apply directly from the bottle on dry leather surface. If you follow this method your boots will turn a very dark brown color. I have used both methods and have found they equally work well. I was fond of the tan color when I bought them though. I have stood in streams while filtering water and experienced no water penetration into the boots. Why was I buying Gore Tex boots?    After spending so much money I was fanatical about keeping my boots clean. I had a concern about the fuzzy leather surface of these boots. Other makers have a very smooth surface. At some sections of the trail mud coated the entire boots. I was certain I would not be able to remove it and that my boots would stain. I stood in a stream and the wet mud washed off. Boots looked brand new. I have removed dry mud in my shower with a little elbow grease and again~ boots turn out looking like new. While I have spent well over $400.00 CDN for these boots~ I have never had a moment of reservation.
4,la-sportiva,makalu,5.0,"   I've never owned a pair of boots that fit my feet this well.  My feet are low volume~ medium width with a smallish heel.  Out of the box I had a hot spot on the outside of my right foot~ but that went away as the boots broke in.  Break in went pretty quickly~ but about 15~000 vertical feet were covered during the 50 miles that it took me to break the boots in.  Less vertical mileage will probably result in a longer break-in period.  Getting the boots wet will definitely speed up the break-in process.  I still have to tape my heels to avoid blisters -- that's a result of my soft skin and the relatively flex-free midsole.     Those remarks out of the way~ the Makalu's are about as perfect a boot as I can imagine.  The uppers support the ankle so well~ it's amazing.  The well padded collar lets you crank the laces as tight as you like without pinching or hot spots.  I read it over and over here before I bought my Makulus ""if they fit your feet~ buy them.""  I firmly believe that.  Traction with these boots is amazing.  Spent a weekend walking on wet rocks and never had a problem.  No traction on ice~ but any boot needs crampons on ice.  This boot is now my first pick for heavy backpacking~ mountaineering and off-trail bushwhacking.  They're overkill for hiking~ but what do you expect~ one boot to do everything?!  ;-)"
5,la-sportiva,makalu,5.0,   I have to admit that I fell in love with these boots once I put them to the test.  I went on a NOLS wilderness course (30 days in the Wind River Range of Wyoming) this past summer and these boots survived to tell the tale. As far as support~ I've never heard of a better boot at such a great price; they saved my ankles numerous times when traversing unstable boulder fields with a 75lb pack.  Not to mention how well they did in the snow and river crossings.  However~ if you're planning a long trip where you might encounter snow and wet conditions~ expect your feet to get wet.  I waterproofed these boots up the ying yang~ but that all wears off after a week or so of day-long travel in snow and wet conditions.     I'm a big guy (about 230lbs) so the break in period wasn't all that long~ and I only got one blister~ but these boots did remind me of ski boots when I first tried them on.     Despite the original stiffness~ I have to highly reccomend these boots if you're looking for a heavy weight backpacking or moderate mountaineering boot; they'll withstand anything and it seems they are going to last forever.
6,la-sportiva,makalu,5.0,"   I am planning to apply for a job at NOLS or Outward bound and have been told by several different sources that these are the boots that are used by most of the instructors and are one of the boots required for students for their trips. I have been shopping for boots for 2 months and theses are the best for what they are built for.    For some~ they have a quirkie fit because they are a higher volume boot. From what I have read~ heard and experienced they should fit: (With a thick sock and sock liner) Laced tight there should be room in the toes. They should not hit the front of the boot on a down hill slope. They should not slip more than a 1/4 of an inch in the heel. But~ they are going to slip~ until they get broken in. The reason is that your foot is going to flex therefore your heel is going to move some. The boots are like boards until they break in and they are going to flex very little if any at first. If you have to chose between a size go for the 1/2 size larger. You can also put ""superfeet"" insoles to take up volume and/or ""5-6 irons"" to do the same.    These are really good boots so don't give up hope if they don't fit perfect the first five minutes in the store. Lastly~ these are not the only boots out there. If they just don't work for your foot get something else. I would suggest trying other brands at the same time anyway to compare fit. Good luck."
7,la-sportiva,makalu,4.0,   I have the 1997 model of the Makalu and it is much improved over the 1996 model.  The new double-density Vibram Clusaz outsole has much deeper welts than the Calgary sole~ and it holds a crampon very well.  Everything is basically bigger on the new model; the leather is thicker~ the midsole is made of thicker polyurethane (Hydrel) than the old nylon midsole~ and the shank is thicker.  These changes combine to make the boot a lot stiffer than the 1996 model~ further improving its crampon performance.  They also replaced the calfskin lining with a Cambrelle one. The new midsole material requires no break-in period - unlike the Nylon version - only the uppers need it.     Initially I found that the roughout leather was soft~ but after several moist outings and about three applications of Nikwax~ they toughened up and became very water resistant.     Walking on flat ground is uncomfortable.  After a while they develop a very small amount of flex~ and there is some rocker built into the sole~ but these are not trail boots. They are better on rough trails~ and better yet off the trail when the stiffness and ankle support become more important.  On snow they are absolutely delightful.  They are also excellent running down scree.   The toe box is pretty small~ and if I hadn't sized my boots for use with Thorlo's and liners~ I'd be a little crunched. As it is~ I can't replace the thin insoles with anything a little more cushy.    Another problem that my boots have is that the Vibram soles are very hard wearing~ but it may be a little too hard.  Small chunks of rubber have broken off a number of the lugs~ and if the problem persists I will have to contact La Sportiva about it.  Otherwise~ I have no complaints.   Let me say again~ these are not good backpacking boots. They're far too heavy~ stiff~ and warm for such duty. However~ for light mountaineering they really come into their own.  As long as the approach is not too dull~ these boots excel in moderate conditions ( -15 ^C).  Add supergaitors and VB socks~ and you can even go beyond that.
8,la-sportiva,makalu,4.0,   Like someone said here~ one boot to get you from the car to the top of a snowy mountain.   The new crampon toe groove in the '97s is great -- I can't throw even an ice crampon~ no matter how much I twist and thrash.   A bit fatiguing for extended front-pointing~ due to the flex~ but stiff enough (I weigh 150 lbs) for a short pitch of german or thin alpine rock.  (I am not a very good rock climber~ but didn't do much worse in the Makalus than in my rock shoes)   And they climb rock a lot better than approach shoes or my Sundowners!   I fit a lot of boots at the outdoor shop I work at~ and the Makalu does seem to be a quirky fit~ due to its very low volume.  Either it fits exactly right or it fits like hell -- unlike a OS Moraine~ there is not a lot of interior volume to accomodate a wide range of foot shapes.   Unlike just about anything heavier (Scarpa Manta~ Assault~ K3~ Nepal Tops~ Super Mtn Guides~ etc)~ I can't imagine it will do very well on waterfall ice (I will find out as soon as it forms!) but you can comfortably *walk* miles in them.   Bottom line:  a quirky fit~ but a good general use boot for climbing mountains.  There are better choices for backpacking or ice climbing.
9,la-sportiva,makalu,3.5,   Comfy.. but not built to last. I do a lot of hiking in Hawaii and these boots dissolve on the basalt lava flows. I had to get them resoled after owning them for four months. The boots are not waterproof either.    That said~ they are really comfortable and sturdy on uneven terrain. My complaint could be more with the vibram soles which cuts like butter on the lava.
